input,reference_sentence,predicted_label
A girl is styling her hair.,A girl is brushing her hair.,A young girl is laying on a stage.
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,A large bird standing on the water.
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,At least two holds the Senate.
A man is cutting up a cucumber.,A man is slicing a cucumber.,A man is cutting.
A man is playing a harp.,A man is playing a keyboard.,A man is playing a har pepper.
A woman is cutting onions.,A woman is cutting tofu.,A woman is slicing a bike.
A man is riding an electric bicycle.,A man is riding a bicycle.,A man is playing a piano.
A man is playing the drums.,A man is playing the guitar.,A man is playing the guitar.
A man is playing guitar.,A lady is playing the guitar.,A woman is playing a guitar.
A man is playing a guitar.,A man is playing a trumpet.,A man is playing a flute.
A man is playing a guitar.,A man is playing a trumpet.,A man is eating a flute.
A man is cutting an onion.,A man cuts an onion.,A man is slicing a motorcycle.
A man is cycling.,A man is talking.,A woman is dancing.
A man is slicing open a fish.,A man is cutting up a fish.,A man is cutting.
A man is slicing a tomato.,A man is slicing a bun.,A man jumps in a knife.
A man is playing a guitar.,A man is playing a keyboard.,A man is playing a guitar.
A baby panda goes down a slide.,A panda slides down a slide.,A dog holds a yellow chair food riding a bowl.
A man is singing and playing a guitar.,A man is playing a guitar.,A woman is playing a guitar.
A man attacks a woman.,A man slaps a woman.,A man is riding a tomato.
A man is driving a car.,A man is riding a horse.,A man is playing a guitar.
A woman is cutting tofu.,A woman is cutting an onion.,The woman is spitting oil.
The woman is styling her hair.,The woman is slicing herbs.,A woman is lifting her hair.
Two zebras play in an open field.,Two zebras are playing in a field.,Two people sit down a room in hill.
A man is cutting a potato.,A man is slicing some potato.,A man is exercising.
A man is slicing an onion.,A woman is slicing a pumpkin.,A man is cutting an onion.
A  man is dancing.,A man and woman is dancing.,A man is riding a horse.
A man is riding a motorcycle.,A woman is riding a horse.,A man is riding a horse.
A woman is slicing garlics.,A woman is slicing an onion.,A woman is coating a tomato.
A man is speaking.,A man is cooking.,A cat is cutting bull.
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,A young boy stands in the young boy is playing a track.
A turtle is swimming in water.,A turtle is walking underwater.,A baby is showing a ball at a ball.
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,A young woman is cutting eggs into a baby.
A woman is wrapping tofu.,A woman is balling dough.,A woman is slicing a fish.
A cat is eating some corn.,A cat is eating corn on the cob.,A cat is eating.
A man is eating a food.,A man is eating a piece of bread.,A man is playing a guitar.
A man is playing a guitar.,A man is eating pasta.,A man is playing a guitar.
A man is kicking pots of water.,A man is picking flowers.,A woman is cutting up the violin.
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,A man is playing a guitar.
A woman is dancing in the rain.,A woman dances in the rain out side.,A woman is dancing in the rain.
A woman is taking a bath.,A woman is riding a horse.,A woman is cutting a woman.
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,A man pours a soccer in a bowl.
A woman is talking on a cell phone.,A man and woman are talking on the phone.,A man is walking on a guitar.
A man is playing a guitar.,A man is singing while playing the guitar.,A baby is riding a piano.
A man is playing a guitar.,A man is driving a car.,A man is playing a guitar.
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,A woman is putting an apple.
A man is opening a door.,A man is cutting an onion.,A woman wearing a tortilla.
A man is slicing a tomato.,A man is riding a horse.,A man is slicing a tomato.
A man is cutting paper with a sword.,A woman is cutting a tomato.,A woman is slicing a rifle.
A boy studies a calendar.,A boy is looking at a calendar.,A woman is perched a baby.
The ballerina is dancing.,A man is dancing.,A boy is playing the flute.
A woman is dancing.,A woman is playing violin.,A woman is exercising.
A woman is slicing some tomatoes.,A woman is chopping a potato.,A woman is laughing.
A woman is water skiing.,A woman is slicing fish.,A woman is slicing into a track.
A man is playing a flute.,A man is riding a scooter.,A man is playing a guitar.
A man is playing the piano.,A man played the guitar.,A woman is playing the guitar.
A woman is picking a can.,A man is playing a guitar.,A woman is singing.
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,A man sings a rope in a wall in front of a pool.
A woman is cutting an onion.,A woman is cleaning a garden.,A woman is cutting broccoli.
Some men are sawing.,Men are sawing logs.,Two men are playing with a flute.
A car is driven down the road.,A girl is walking down a road.,A car is eating a trumpet.
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,A woman is singing in water.
A train is moving.,A man is doing yoga.,A train is eating.
Someone is slicing an onion.,A woman is cutting onion.,Someone is slicing a tomato.
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,A woman is playing in a guitar.
A person is playing an electronic keyboard.,A kid is playing keyboard.,A young is playing a guitar.
A man is holding a leaf.,A monkey is fighting a man.,A baby is talking a rope.
A woman is peeling shrimp.,A man is squeezing water.,A woman is laughingino to chop.
A man is sitting and smoking.,A man is smoking a cigarette.,A man is shooting a tomato.
A man is playing a guitar.,A woman is riding a horse.,A man plays a guitar.
A man is standing in front of the window and looking outside.,A man is staring out the window.,A man is carrying man in a dog in a brown dog.
A skunk is looking here and there.,A skunk looks at the camera.,A cat is sitting with a pan.
A man is playing the guitar and singing.,A man sings with a guitar.,A man is playing the piano.
A woman opens a window.,A man is crawling.,A woman is slicing a tomato.
People are dancing outside.,A group of people are dancing.,Four are trying.
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,A man is riding a car.
A woman is filing her nails.,A man is peeling a carrot.,A woman is cutting her into a pool.
A boy is crawling into a dog house.,A boy is playing a wooden flute.,A man is slicing.
A woman is swimming underwater.,A man is slicing some carrots.,A woman is picking a knife.
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,A man is eating a tomato.
A monkey is playing drums.,A gorilla plays the drums.,A little is playing a guitar.
A man is opening a box and taking out paper.,A woman is peeling a potato.,A woman is slicing a cuc.
A woman is dancing.,A woman plays the clarinet.,The man is eating.
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,A person is slicing a bar.
The men played follow the leader on the grass.,The rhino grazed on the grass.,A group of people sitting on the people sit.
A woman is cracking eggs.,A man is talking to a woman.,A woman is exercising.
A woman peels garlic with her hands.,The woman is slicing herbs.,A woman is swimming with a tree.
The polar bears fought over the kill.,Polar bears are fighting each other.,A man and another man walks along the road with the water.
A man is doing trick with play cards.,A man is performing a card trick.,A woman is playing with a guitar.
The cat is licking a bottle.,A cat plays with a small bottle.,A woman is cutting a tomato.
A person is slicing an onion.,A person cuts ginger.,A man is slicing a tomato.
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,A man is running with a large child in a bowl.
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,Two women are dancing in the snow.
A man is seasoning some carrots.,A woman is slicing garlic.,A woman is riding a tomato.
Two men pushed carts through the woods.,Two men are pushing carts.,Two boys are walking down.
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,A man plays a guitar.
The lady peeled the potatoe.,A woman is peeling a potato.,The women the US of paper.
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,A woman is slicing some meat.
Someone typed on a keyboard.,Someone is typing.,A deer horse is riding a horse.
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,"Some, blue car parked, it,, he, a pool."
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,A young boy is playing a guitar.
A cat is walking around a house.,A woman is peeling potato.,A cat is picking the violin.
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,A woman is playing a small man is riding a table.
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,A man is playing an onion.
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,A woman who on a brown horse.
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,A pours pours top of paper from a lake.
A group of people are dancing.,Women are dancing outside.,A group of people are dancing.
A man is playing guitar.,A boy is talking to a giant dog.,A man is playing flute.
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,A woman is eating a pen.
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,The white woman wearing a yellow bicycle picture.
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,A man and blue car is cutting up.
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,A man is dancing in a pot.
The panda bear lay on the logs.,A panda is lying down.,Two dogs are playing on the sand.
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,Four boy plays a white dress.
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,A cruise ship up to the dirt hill.
A cat is playing on the floor.,A man is slicing garlic.,A cat is playing on the guitar.
A boy is playing violin on stage.,A person is mixing a pot.,A boy is playing a piano.
A dog is barking at a toy.,The little dog barked at the electronic toy.,A dog is walking around in the ball.
A man is cycling.,A boy is riding a bicycle.,A man is eating.
A woman is slicing ginger.,A person is holding two baby lorises.,A man is slicinging a tomato.
A man is dragging a dead deer.,A man is jumping into water from a cliff.,A man is shooting a car.
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,A man is playing a guitar.
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,A woman is cooking a garlic on a rope.
Someone touched the kitten chewing on a string.,Someone is cutting paper.,A boy is crawling on the floor.
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,A panda is walking in a red.
A baby elephant is eating a small tree.,A little girl peddling a scooter.,A baby is slicing a potato.
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,A woman spl an obstacle.
Someone is drawing.,Someone is dancing.,Someone is taking.
A man is playing a guitar.,A woman is playing the guitar.,Someone is playing a guitar.
Two men are fistfighting in a ring.,Two men fistfight in a ring.,Two dogs are standing in a field.
A person wipes butter on a tray.,A person is buttering a tray.,A car driving a ball next to water.
Two men are playing football.,Two men are practicing football.,Two men are playing the guitar.
The man is playing the guitar.,The girl is playing the guitar.,A man is playing the piano.
A man is peeling a potato.,A man is slicing a potato.,A man is breading from a banana.
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,A woman is exercising a skateboard.
A child is waking up.,A girl is waking up.,A woman is dancing.
A boy is playing a key-board.,A little boy is playing a keyboard.,A boy is playing a piano.
A woman plays the flute.,A woman is playing the flute.,A woman is cutting a tomato.
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,A woman is playing guitar.
A man is playing a flute.,A man is playing a guitar.,A man is playing a guitar.
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,A group of people are running in a ball.
A man plays a guitar.,A man is playing a guitar.,A man is slicing a guitar.
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,A man in a lake.
A woman is climbing a cliff.,A woman is climbing a rock face.,A man is making a cucumber.
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,a person sittinginese p
A woman is cutting some fish.,A woman is cutting tofu.,A woman is cutting a potato.
Someone is playing a piano.,Someone is playing guitar.,A person is playing a guitar.
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,A man is dancing.
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,A man is cutting a potato.
A girl is playing guitar.,A girl is playing a piano.,A person is playing guitar.
A man is praying.,A man is dancing.,A man is running.
A man is playing piano.,A man is playing a violin.,A man is playing a guitar.
A woman is slicing an onion.,A woman is slicing lemons.,A woman is cutting tofu.
A man is riding a horse by a creek.,A man is riding a horse.,A man is peeling a car.
A man is playing a guitar.,A man is playing a guitar and singing.,A man is playing a game.
A man is picking up a tree.,A man is carrying a tree.,A dog plays a white sheep.
A person is peeling a potato.,The man is peeling a potato.,A cat is dancing.
A person is playing a piano.,A person is slicing a potato.,A person is playing a flute.
A man is spitting.,A man is talking.,A man is playing a piano.
A man is playing a musical keyboard.,A man is playing a keyboard piano.,A woman is bread flute.
A man is dancing.,A man is thinking.,A man is exercising.
A man plays a trumpet.,A man is playing the trumpet.,A man is eating a guitar.
A woman is riding a horse.,A man rides a horse.,A woman is riding a motorcycle.
A band is playing on stage.,A woman is dancing on a stage.,A girl is playing a trumpet.
A woman is playing a guitar and singing.,A woman is playing the guitar.,A man is playing a guitar in a flute.
The man is eating.,A man is eating food.,A man is eating.
A little boy hits a golf ball.,The little boy swung at the golf ball.,A girl is playing a guitar.
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,A car is moving.
Someone is reading an email.,A man is reading his email.,Someone is dancing.
A person is slicing onions.,Someone is slicing an onion.,A woman is peeling a tomato.
A girl is coming up on a car.,A girl jumps on top of a car.,A woman is dicing an acoustic.
A man is playing drums.,A man is playing his guitar.,A man is playing a guitar.
Someone is slicing a onion.,Someone is carrying a fish.,Someone is slicing a cuc.
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,A woman are eating.
A little girl peddling a scooter.,A girl is riding a scooter.,A little girl is riding a pan.
A cat cleans itself.,A cat is licking itself.,A man on the road.
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,A woman is putting a horse.
A woman opens a window.,A woman is looking out a window.,A woman is cooking a fish.
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,Three grazing in the grassy in the dirt.
The man is playing the guitar.,The man is peeling a potato.,A man is playing a guitar.
A man is dancing.,A woman is exercising.,A woman is exercising.
A woman is exercising.,A man is dancing.,A woman is slicing bread.
A boy is playing the violin onstage.,A boy is playing an instrument.,A boy is playing a flute.
The woman is measuring the other woman.,The lady measured the other woman's ankle.,The man is picking a horse.
A man is doing exercise.,A man is firing a rifle.,A woman is dancing.
A dog is playing with a toy.,A dog is eating a doll.,A dog is playing a guitar.
A man is playing a piano.,A guy is peeling a potato.,A man is playing a guitar.
A man is bowling.,A kitten is walking.,A man is dancing.
A woman is dancing near a fire.,A woman is cutting a tomatoe.,A woman is eating a gun.
A man is making a bed.,A man is speaking to an audience.,A man is driving a car.
A person is riding a motorcyle.,A person is chopping an onion.,A man is holding a bowl.
A man pours rice into a pot.,A man is putting rice in a bowling pot.,A woman plays a potato.
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,A person is slicing a microphone.
A woman is slicing ginger.,A woman is cutting potatoes.,A woman is cleaning some shrimp.
Men are playing soccer.,Two teams play soccer.,Australia are playing in a stage.
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,A person is carrying egg is skating into a microphone.
A panda bear is chewing on a stick.,A baby panda plays with a stick.,A small large white cat sitting on the side.
The people are lifting bags.,Several people are carrying large bags.,A puppy are doing a pen.
A man is talking on the phone.,A man is moon-walking across a store.,A man is tapping a cuc the violin.
A woman is braiding her hair.,A man is riding a motorcycle.,A woman is cutting some meat.
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,A man is slicing a small into a car.
The woman is slicing tofu.,The woman is putting on lipstick.,A man is slicing a fish.
A woman is folding paper.,A woman is applying eye shadow.,A woman is slicing some some meat.
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,A man is playing in a guitar.
A man is lifting weights.,A man is chopping egg plant.,The cat is eating a tomato.
A man is playing a cello.,A man is rapidly lifting small weights.,A man is playing guitar.
The man is talking.,A man is walking down stairs.,A man is spitting.
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,A man is riding a banana.
A man is playing the drums.,A woman is slicing some leaves.,The plays slicing a tomato.
A man is playing a ukulele.,A man is sitting and playing a small guitar.,A man is playing a guitar.
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,A little girl wearing a baby is riding a tomato.
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,A man and women dressed to make into a microphone.
A man is hitting a boy with flower vase.,A man is cutting a mat.,A man wearing a baby is playing with a mountain wearing a tree.
The man is mixing whipping cream.,The man is holding a skunk.,A man is playing a guitar.
A man is stirring juice.,A man is peeling an onion.,A woman is slicing a tomato.
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,Someone is walking down the sidewalk.
A man is kicking pots of water.,A man is turning foods.,A monkey is breading a large face.
Two little girls talk on the telephone.,Two couple are talking with each other.,Two women are walking on a beach.
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,Two cat sitting on a green grass arm with an fence.
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,A woman is driving a green field.
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,Singapore shares open up the os.
A man is singing while playing the guitar.,A man is stuffing himself full with food.,A man is playing a guitar.
A boat sails along the water.,The man is playing the guitar.,A baby is holding a white to water.
An okapi is eating from a tree.,A moose drinks from a sprinkler.,A black dog is riding a motorcycle.
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,Five on a branch.
A woman is pouring egg into a frying pan.,A man is petting two dogs.,A man is cleaning a pan.
A woman is frying ground meat.,A man is cutting a trunk with an axe.,A woman is slicing a bottle.
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,Three dogs walking down the station.
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,A red and a grassy trees.
A person is boiling noodles.,A cat is licking a bottle.,A person is eating.
A person is slicing some onions.,A woman is chopping herbs.,A person is cutting an onion.
A man reels in a fish.,A woman is pouring oil in a bowl.,A man and woman wearing a tree.
A woman is cutting an onion.,A horse is standing.,A woman is doing water.
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,A woman puts a pink a black dog jumping down a lake.
A girl is applying makeup on her face.,A woman is putting on makeup.,A young boy is singing on the sidewalk.
A woman puts make-up on.,A woman is putting on eyeshadow.,A woman is cutting some meat.
A cat plays in his water.,The cat fished a straw out ouf his water dish.,a boy is playing a guitar.
A person is adding food in a pan.,A man is dancing in the street.,A man is eating a brown dog in an.
A man is smoking.,A baby is sucking on a pacifier.,A man is slicing.
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,A woman is tapping in a slice.
A man is erasing a chalk board.,"A woman is dancing, and singing.",A man is playing a guitar.
The man is exercising.,A man is doing pull-ups.,A man is exercising.
A chimp is kicking a target.,A woman is putting oil into a skillet.,A man is playing a guitar.
A man is doing exercise.,A baby is laughing.,A woman is chopping mushrooms in a knife.
The girl is carrying a baby.,A man is eating a food.,A man is spitting a flute.
Several swimmers jump into the water.,Swimmers are racing in a lake.,Someapore people are extreme's largest.
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,A man plays a tomato.
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,A young girl that bicycle car.
A person dices up an orange pepper.,The cook is slicing bell peppers.,A person is peeling an inf.
Two men are dancing together.,A woman opens a closet.,Two men are running through the beach.
A man is reading an email.,A person opening a banana.,A cat is chopping garlic.
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,Two dogs run in the grass.
A moped in front of steps of ruins.,A moped in front of ruins.,A brown horse in a field of grass in front of room.
A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,"A man, a woman are riding a street."
Two cats are looking at a window.,A white cat looking out of a window.,Two women are playing a white cow.
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,A person standing at a camera with a red collar.
A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,A man and a bike in a bike of a field.
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,A brown and white cat are in a white horn.
A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,A boy holds a stick and yellow truck with a small snow.
Blue couch and twin bed in a living room.,Blue couch in room with sun shining in.,A man on a bike.
The flock of sheep are spread out in the field.,A white cat stands on the floor.,The train is walking in the trees.
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,A cat sitting on a beach.
A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,A panda bear is crawling.
A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,A black bird standing in a black rides chair in front of a table and white dog on a snow.
Young couple sitting on a black couch.,Young couple sitting on couch.,A man on a large black dog.
A group of black people in front of a building with a moped.,A group of people are outside a decrepit building.,A group of people sitting in a blue down a bus.
Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,The men are considering that with it and other that estrogen prevents.
A man riding on the back of an orange SUV.,an African man hanging onto the back of a very full yellow van.,A woman is riding a pot.
Red and white bus driving down road.,A bus drives down a busy road.,Red and a cat sitting in their in a green street
A cat laying on a red cushion looking at the camera.,A tan dog lying on a moggie bed looking up at the camera.,A cat sitting on the rear in the camera.
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,Two dogs are running down over the grass.
A grey cat lying on a wooden table.,A grey cat laying on a dining table.,A little girl sitting on the beach of his head.
A man sitting in a back yard playing the guitar.,A man riding on the back of an orange SUV.,A man is dancing in a plastic.
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,A smiling sits with a red shirt and brown dog standing in a ball in the floor.
a close up head of an ostrich.,A close up of an ostrich face.,A close up up train up of a table.
Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,We and white horn and white photo.
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,A woman in a white dog swim in a field.
A woman riding a brown horse.,A woman taking her own photo from above.,A woman is riding a horse.
Two men standing in grass staring at a car.,A woman in a pink top posing with beer.,Two sheep standing in a black field.
Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,Two women in the grass.
A table is set with wine and dishes for two people.,"A wooden table is set with candles, wine, and a purple plastic bowl.",A person is dancing to the road with a wooden water.
A moped in front of ruins.,White bus parked in grass in front of building.,a brown horse of a beach together in front of a field.
A person driving a cart pulled by a bicycle.,A man wearing a dust mask riding a three wheeled bicycle.,A woman is riding a horse.
A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,A dog is lying in the water.
a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,A cruise young woman and white horse parked in a grass.
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,A little girl in a bike on a large rock.
A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,A white cat sitting on the tracks.
A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,A black and white dog sitting on a field.
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,A man plays an rear an onion.
A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,A brown dog is sitting on a brown dog in the background.
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,A group of a grass a field.
Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,A black and white cow standing in the snow.
Three men posing in a tent.,Three men eating in a kitchen.,Some dogs playing a guitar.
A close-up of a gray cat with green eyes.,A close-up of a cat on a cream sofa.,A close up of an orange down a red street.
A train is at a train station.,The train sits at the train station.,A train is bread a picture.
The train heads down the tracks and along the hedge.,a dog on the floor of a patio looks at a cat on the fence.,The boy sitting with one one the camera-m.
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,A little girl is writing at a beach.
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",Two women in a grass in a field.
A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,A child in a room with a field.
A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,A black train up a bike in a train along a station.
Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,Three dogs are in a pen.
A red and white bus drives down an England street.,A red and white England bus drives down the street.,A white horn and white dog on a stick.
The birds are swimming in the water.,Birds fly low over water.,A close lower on a bus riding with green hill.
A black dog looking at the camera.,The black and white bull is looking at the camera.,A black and white dog jumping in the snow.
A group of horses grazing in a field.,Group of horses grazing in grassy field.,A group of people are kissing.
Several people on motorcycles in a market square.,People on motorbikes in a city street.,Two children holds a metal long one.
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep on a dirt road shot from a car.,Three young woman in a small television of water.
Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,A boy and blue boy in the grass.
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,"A woman, a white sheep riding a ball."
Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,A black player stands next on a street.
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,"No-liferation, german-day in the remainder at the company-raped."
Two women sitting outside laughing.,Two women standing outside of a bus.,Two women in boat.
A steam engine and train moving toward the camera.,A white sheep on a hillside looking at the camera.,A puppy bird of the camera.
A brown and white cow in a field looking into the camera.,The black and white cat is looking up at the camera.,A brown and white dog runs in a ball in the snow.
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,A black and white cat laying on a red and field.
Home office space with bright green walls and artwork.,An office with multiple desks and green walls.,a red bus with several in its biggesty field.
A black and white photo of a man driving a car and someone with a motorcycle.,A black and white photo of a man in a classic car and a man with a classic motorcycle.,A black white photo of a brown dog on a dog.
Three people are by the water with yellow canoes.,Three people preparing to canoe.,The men was a red each other man and blue with trees.
A girl in a riding hat on a horse.,A girl riding a tan horse.,A man in a grass with a riding horse.
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,The man in a large man in a yellow shirt with a stick in the background.
A very retro living room with a television in it.,A grey cat lying on a wooden table.,A dog and a green hill in a brown dog ball.
A girl in a riding hat on a horse.,A girl riding a brown horse.,A girl sat a wave in a field.
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,A dog is riding up from the beach.
