input,reference_sentence,predicted_label
A girl is styling her hair.,A girl is brushing her hair.,A woman is cracking an onion.
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,A group of people are stands on a room.
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,And is playing a stage.
A man is cutting up a cucumber.,A man is slicing a cucumber.,A man is cutting a flute.
A man is playing a harp.,A man is playing a keyboard.,A man is playing on a guitar.
A woman is cutting onions.,A woman is cutting tofu.,A woman is slicing a tomato.
A man is riding an electric bicycle.,A man is riding a bicycle.,A woman is riding a woman.
A man is playing the drums.,A man is playing the guitar.,A woman is playing a guitar.
A man is playing guitar.,A lady is playing the guitar.,A man is playing guitar.
A man is playing a guitar.,A man is playing a trumpet.,A man is playing a guitar.
A man is playing a guitar.,A man is playing a trumpet.,A man is playing a guitar.
A man is cutting an onion.,A man cuts an onion.,A man is pe a tomato.
A man is cycling.,A man is talking.,A man is mixing.
A man is slicing open a fish.,A man is cutting up a fish.,A man is picking in the beach.
A man is slicing a tomato.,A man is slicing a bun.,A man is cutting an onion.
A man is playing a guitar.,A man is playing a keyboard.,A man is riding a flute.
A baby panda goes down a slide.,A panda slides down a slide.,A red across a street an laying on a room.
A man is singing and playing a guitar.,A man is playing a guitar.,A woman is playing a guitar.
A man attacks a woman.,A man slaps a woman.,A man is playing a piano.
A man is driving a car.,A man is riding a horse.,A woman is cutting an onion.
A woman is cutting tofu.,A woman is cutting an onion.,A woman is cutting.
The woman is styling her hair.,The woman is slicing herbs.,The woman is cutting a guitar.
Two zebras play in an open field.,Two zebras are playing in a field.,A black and white cat in the sand.
A man is cutting a potato.,A man is slicing some potato.,A woman is talking to a beach.
A man is slicing an onion.,A woman is slicing a pumpkin.,A man is cutting a field.
A  man is dancing.,A man and woman is dancing.,A man is riding a horse.
A man is riding a motorcycle.,A woman is riding a horse.,A woman is riding a horse.
A woman is slicing garlics.,A woman is slicing an onion.,A woman is playing a piano.
A man is speaking.,A man is cooking.,A man is laughing.
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,A guy a car.
A turtle is swimming in water.,A turtle is walking underwater.,The person is talking.
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,The man is a boy.
A woman is wrapping tofu.,A woman is balling dough.,A woman is slicing his her.
A cat is eating some corn.,A cat is eating corn on the cob.,A man is slicing a flute.
A man is eating a food.,A man is eating a piece of bread.,A man is slicing a flute.
A man is playing a guitar.,A man is eating pasta.,A man is playing a guitar.
A man is kicking pots of water.,A man is picking flowers.,A woman is standing his a pool.
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,A man is sitting a piano.
A woman is dancing in the rain.,A woman dances in the rain out side.,A woman is riding a red in a pool.
A woman is taking a bath.,A woman is riding a horse.,A woman is slicing a potato.
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,A man is swimming in a bike.
A woman is talking on a cell phone.,A man and woman are talking on the phone.,A woman is running through a man.
A man is playing a guitar.,A man is singing while playing the guitar.,A man is playing a guitar.
A man is playing a guitar.,A man is driving a car.,A man is slicing a flute.
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,A man is making is slicing a pot.
A man is opening a door.,A man is cutting an onion.,A man is peeling an onion.
A man is slicing a tomato.,A man is riding a horse.,A man is riding a yellow.
A man is cutting paper with a sword.,A woman is cutting a tomato.,A woman is holding a horse.
A boy studies a calendar.,A boy is looking at a calendar.,A boy is singing an table.
The ballerina is dancing.,A man is dancing.,The guy is playing the snow.
A woman is dancing.,A woman is playing violin.,A woman is barking the fl.
A woman is slicing some tomatoes.,A woman is chopping a potato.,A woman is walking some.
A woman is water skiing.,A woman is slicing fish.,A woman is slicing a bowl.
A man is playing a flute.,A man is riding a scooter.,A man is riding a guitar.
A man is playing the piano.,A man played the guitar.,A woman is playing a rifle.
A woman is picking a can.,A man is playing a guitar.,A woman is chopping meat.
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,The man and woman standing on a pool.
A woman is cutting an onion.,A woman is cleaning a garden.,A woman is cutting egg.
Some men are sawing.,Men are sawing logs.,Two men are talking.
A car is driven down the road.,A girl is walking down a road.,A dog is running through the camera.
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,A woman is playing a piano.
A train is moving.,A man is doing yoga.,A man is eating.
Someone is slicing an onion.,A woman is cutting onion.,Someone is riding a guitar.
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,A man is playing the flute.
A person is playing an electronic keyboard.,A kid is playing keyboard.,A person is slicing with a pan.
A man is holding a leaf.,A monkey is fighting a man.,A man is riding a horse.
A woman is peeling shrimp.,A man is squeezing water.,A woman is playing the guitar.
A man is sitting and smoking.,A man is smoking a cigarette.,A man is playing a piano.
A man is playing a guitar.,A woman is riding a horse.,A man is playing a guitar.
A man is standing in front of the window and looking outside.,A man is staring out the window.,A man is standing in front of a car.
A skunk is looking here and there.,A skunk looks at the camera.,A deer is singing in a cat.
A man is playing the guitar and singing.,A man sings with a guitar.,A man is playing a piano.
A woman opens a window.,A man is crawling.,A man is driving a horse.
People are dancing outside.,A group of people are dancing.,Two men are playing.
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,A man is playing a guitar.
A woman is filing her nails.,A man is peeling a carrot.,A man is cutting an oil into a blue.
A boy is crawling into a dog house.,A boy is playing a wooden flute.,A man is walking around in the water.
A woman is swimming underwater.,A man is slicing some carrots.,A woman is peeling mouth.
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,A boy is riding a fl a stick wearing an motorcycle.
A monkey is playing drums.,A gorilla plays the drums.,A person is playing with a horse.
A man is opening a box and taking out paper.,A woman is peeling a potato.,A man is playing a field.
A woman is dancing.,A woman plays the clarinet.,A woman is dancing.
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,The boy is slicing a person is riding.
The men played follow the leader on the grass.,The rhino grazed on the grass.,The girl is walking on the ground.
A woman is cracking eggs.,A man is talking to a woman.,A woman is peeling ingredients.
A woman peels garlic with her hands.,The woman is slicing herbs.,A woman is eating a tomato.
The polar bears fought over the kill.,Polar bears are fighting each other.,The black dog is running through the ground.
A man is doing trick with play cards.,A man is performing a card trick.,A man is climbing a plastic.
The cat is licking a bottle.,A cat plays with a small bottle.,The guy is shooting with a man.
A person is slicing an onion.,A person cuts ginger.,Someone is cuttingute.
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,A man is running in a red bicycle.
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,Two dogs are in the ground.
A man is seasoning some carrots.,A woman is slicing garlic.,A man is playing a guitar.
Two men pushed carts through the woods.,Two men are pushing carts.,Two people a fl people in a wall.
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,A man is riding on a beach.
The lady peeled the potatoe.,A woman is peeling a potato.,A girl is playing a pool.
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,A woman is slicing a pot.
Someone typed on a keyboard.,Someone is typing.,The man is playing a guitar.
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,"Three dogs are running, who, orange, or, a share, a horse,."
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,A little horse is playing the snow.
A cat is walking around a house.,A woman is peeling potato.,A boy is standing on a ball.
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,A woman is cutting his meat an while an is who a field.
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,A deer guitar is playing a piano.
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,A man is playing a potato with a stick.
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,A person is playing a bed.
A group of people are dancing.,Women are dancing outside.,A group and woman with a small man.
A man is playing guitar.,A boy is talking to a giant dog.,A man is playing playing a guitar.
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,A woman is playing a yellow.
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,A person is slicing a bowl.
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,A man is playing a bike on the river.
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,A woman is slicing a field.
The panda bear lay on the logs.,A panda is lying down.,A man is playing the ground.
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,A boy in a kitchen.
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,a white horse is playing on a rifle.
A cat is playing on the floor.,A man is slicing garlic.,A person is playing the water.
A boy is playing violin on stage.,A person is mixing a pot.,A man is playing on a guitar.
A dog is barking at a toy.,The little dog barked at the electronic toy.,A brown dog is sitting in a dog.
A man is cycling.,A boy is riding a bicycle.,A man is exercising.
A woman is slicing ginger.,A person is holding two baby lorises.,A woman is pouring meat of a lemon.
A man is dragging a dead deer.,A man is jumping into water from a cliff.,A man is driving down a track.
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,A man is putting into a potato.
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,A man is slicing.
Someone touched the kitten chewing on a string.,Someone is cutting paper.,A person is holding a table a knife.
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,A boy is running through a field.
A baby elephant is eating a small tree.,A little girl peddling a scooter.,A small horse in a fish.
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,A person is cutting a toy.
Someone is drawing.,Someone is dancing.,Someone is playing a piano.
A man is playing a guitar.,A woman is playing the guitar.,A woman is playing a guitar.
Two men are fistfighting in a ring.,Two men fistfight in a ring.,The brown women are eating wall.
A person wipes butter on a tray.,A person is buttering a tray.,A person is playing a trumpet.
Two men are playing football.,Two men are practicing football.,Two women are playing.
The man is playing the guitar.,The girl is playing the guitar.,A man is playing a guitar.
A man is peeling a potato.,A man is slicing a potato.,A person is shooting a potato.
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,A woman is cutting an onion.
A child is waking up.,A girl is waking up.,a red is pouring a potato.
A boy is playing a key-board.,A little boy is playing a keyboard.,A boy is playing a guitar.
A woman plays the flute.,A woman is playing the flute.,The woman is driving down the trumpet.
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,A man is playing a piano a guitar.
A man is playing a flute.,A man is playing a guitar.,A man is playing a guitar.
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,A group of people sitting down a bike on a mountain.
A man plays a guitar.,A man is playing a guitar.,A woman is playing.
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,A man and a woman sitting on a bowl.
A woman is climbing a cliff.,A woman is climbing a rock face.,A woman is cutting a rope.
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,A red sheep in a red with a dirt.
A woman is cutting some fish.,A woman is cutting tofu.,A woman is slicing an onion.
Someone is playing a piano.,Someone is playing guitar.,A man is riding a dirt.
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,A man is playing a ball on a fl on an man.
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,A woman is playing with a red.
A girl is playing guitar.,A girl is playing a piano.,A man is playing a guitar.
A man is praying.,A man is dancing.,A man is mixing.
A man is playing piano.,A man is playing a violin.,A man is playing a guitar.
A woman is slicing an onion.,A woman is slicing lemons.,A woman is slicing an onion.
A man is riding a horse by a creek.,A man is riding a horse.,A man is riding a horse.
A man is playing a guitar.,A man is playing a guitar and singing.,A woman is playing a guitar.
A man is picking up a tree.,A man is carrying a tree.,A man is playing a guitar.
A person is peeling a potato.,The man is peeling a potato.,A person is peeling a potato.
A person is playing a piano.,A person is slicing a potato.,A brown is playing a guitar.
A man is spitting.,A man is talking.,A man is riding.
A man is playing a musical keyboard.,A man is playing a keyboard piano.,A man is playing a tr a guitar.
A man is dancing.,A man is thinking.,A person is running.
A man plays a trumpet.,A man is playing the trumpet.,A man is playing guitar.
A woman is riding a horse.,A man rides a horse.,A woman is walking an girl.
A band is playing on stage.,A woman is dancing on a stage.,A man is slicing a potato.
A woman is playing a guitar and singing.,A woman is playing the guitar.,A woman is playing a guitar.
The man is eating.,A man is eating food.,The man is exercising.
A little boy hits a golf ball.,The little boy swung at the golf ball.,A little dog runs with a guitar.
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,A passenger is riding a pool.
Someone is reading an email.,A man is reading his email.,A person is cleaning a piano.
A person is slicing onions.,Someone is slicing an onion.,A man is peeling a horse.
A girl is coming up on a car.,A girl jumps on top of a car.,A passenger is dancing on a yellow motorcycle.
A man is playing drums.,A man is playing his guitar.,A man is playing the guitar.
Someone is slicing a onion.,Someone is carrying a fish.,Someone is sewing.
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,A woman with woman with a piano.
A little girl peddling a scooter.,A girl is riding a scooter.,A boy is diving into a pan.
A cat cleans itself.,A cat is licking itself.,A small cat looking at the grass.
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,A woman is cutting a tomato.
A woman opens a window.,A woman is looking out a window.,A woman is riding a horse.
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,Three dogs play in a blue in a dining.
The man is playing the guitar.,The man is peeling a potato.,A man is playing a guitar.
A man is dancing.,A woman is exercising.,A man is exercising.
A woman is exercising.,A man is dancing.,A woman is cutting.
A boy is playing the violin onstage.,A boy is playing an instrument.,The tan is playing a trumpet.
The woman is measuring the other woman.,The lady measured the other woman's ankle.,A woman is talking the floor.
A man is doing exercise.,A man is firing a rifle.,A woman is peeling into a small.
A dog is playing with a toy.,A dog is eating a doll.,A dog dog runs through the water.
A man is playing a piano.,A guy is peeling a potato.,A boy is playing the playing guitar.
A man is bowling.,A kitten is walking.,A man is singing.
A woman is dancing near a fire.,A woman is cutting a tomatoe.,A man is peeling a white cat.
A man is making a bed.,A man is speaking to an audience.,A man is walking a car.
A person is riding a motorcyle.,A person is chopping an onion.,A woman is riding a guitar.
A man pours rice into a pot.,A man is putting rice in a bowling pot.,A man is cutting a field.
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,A person is slicing a tomato.
A woman is slicing ginger.,A woman is cutting potatoes.,A woman is slicing a motorcycle.
Men are playing soccer.,Two teams play soccer.,Two men are women.
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,A person is cutting a red steak.
A panda bear is chewing on a stick.,A baby panda plays with a stick.,A close onto a road.
The people are lifting bags.,Several people are carrying large bags.,A woman is cutting an onion.
A man is talking on the phone.,A man is moon-walking across a store.,A man is playing in the dirt.
A woman is braiding her hair.,A man is riding a motorcycle.,A woman is playing a dirt.
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,A woman is slicing a woman.
The woman is slicing tofu.,The woman is putting on lipstick.,A woman is picking an onion.
A woman is folding paper.,A woman is applying eye shadow.,A woman is slicing a slice.
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,A man is slicing a tomato.
A man is lifting weights.,A man is chopping egg plant.,A man is riding a piano.
A man is playing a cello.,A man is rapidly lifting small weights.,A man is playing a guitar.
The man is talking.,A man is walking down stairs.,A man is dancing.
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,a man wearing a blue in a bowl.
A man is playing the drums.,A woman is slicing some leaves.,The man is playing the guitar.
A man is playing a ukulele.,A man is sitting and playing a small guitar.,A man is playing a potato a brown.
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,A girl is slicing a cat.
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,A man stands on the camera.
A man is hitting a boy with flower vase.,A man is cutting a mat.,A man is riding in a rifle.
The man is mixing whipping cream.,The man is holding a skunk.,A man is singing a horse.
A man is stirring juice.,A man is peeling an onion.,A man is mixing.
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,Someone is dancing by into pieces.
A man is kicking pots of water.,A man is turning foods.,A man is slicing a potato.
Two little girls talk on the telephone.,Two couple are talking with each other.,Two women dogs are playing in a wall.
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,A large bird on a red shirt on a baby.
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,The man is playing.
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,The man and woman and woman are the sidewalk.
A man is singing while playing the guitar.,A man is stuffing himself full with food.,A man is playing a guitar.
A boat sails along the water.,The man is playing the guitar.,A boy is playing the guitar.
An okapi is eating from a tree.,A moose drinks from a sprinkler.,Two boy is putting.
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,In the street.
A woman is pouring egg into a frying pan.,A man is petting two dogs.,A woman is exercising a knife.
A woman is frying ground meat.,A man is cutting a trunk with an axe.,A woman is slicing some another into a road.
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,Two dogs dogs killed in front in a room.
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,Three dogs are a car in a couch.
A person is boiling noodles.,A cat is licking a bottle.,A person is holding plays a knife.
A person is slicing some onions.,A woman is chopping herbs.,A person is slicing a horse.
A man reels in a fish.,A woman is pouring oil in a bowl.,A girl in the rain.
A woman is cutting an onion.,A horse is standing.,A woman is cutting a baby.
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,A brown dog jumps a black dog playing in a yellow.
A girl is applying makeup on her face.,A woman is putting on makeup.,A baby is playing and blue sky an.
A woman puts make-up on.,A woman is putting on eyeshadow.,A woman is slicing a potato.
A cat plays in his water.,The cat fished a straw out ouf his water dish.,A band each girl wearing a black and white field.
A person is adding food in a pan.,A man is dancing in the street.,A woman is cutting a guitar.
A man is smoking.,A baby is sucking on a pacifier.,A man is exercising.
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,A person is running in a wooden.
A man is erasing a chalk board.,"A woman is dancing, and singing.",A man is dancing.
The man is exercising.,A man is doing pull-ups.,A man is dancing.
A chimp is kicking a target.,A woman is putting oil into a skillet.,A cat is eating a toy.
A man is doing exercise.,A baby is laughing.,A man is playing a guitar.
The girl is carrying a baby.,A man is eating a food.,A man is mixing.
Several swimmers jump into the water.,Swimmers are racing in a lake.,K in the water.
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,A man is mixing.
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,A man is riding a brown with a table with a brown horse.
A person dices up an orange pepper.,The cook is slicing bell peppers.,A person is carrying not ball.
Two men are dancing together.,A woman opens a closet.,Two dogs are playing in an are playing.
A man is reading an email.,A person opening a banana.,A man is cutting a flute.
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,A blue train on the water.
A moped in front of steps of ruins.,A moped in front of ruins.,A close is swimming in the snow.
A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,A man standing in a white of a brown man in a black.
Two cats are looking at a window.,A white cat looking out of a window.,Three men are playing a field.
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,A grey into an up a dirt a baby.
A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,A man is eating a baby.
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,A black and white cat runs through the snow.
A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,A man riding a dirt.
Blue couch and twin bed in a living room.,Blue couch in room with sun shining in.,A woman in a red with a man.
The flock of sheep are spread out in the field.,A white cat stands on the floor.,The black of people of people are standing in the floor.
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,Two dogs on the snow.
A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,A man is playing a guitar.
A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,A black and white dog running down a large hat.
Young couple sitting on a black couch.,Young couple sitting on couch.,Two women are standing on a field.
A group of black people in front of a building with a moped.,A group of people are outside a decrepit building.,A young people sitting on a kitchen.
Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,And from a stick night to the world are all in the street.
A man riding on the back of an orange SUV.,an African man hanging onto the back of a very full yellow van.,A man stands of a red with a stick.
Red and white bus driving down road.,A bus drives down a busy road.,A person is eating a pool pieces.
A cat laying on a red cushion looking at the camera.,A tan dog lying on a moggie bed looking up at the camera.,A monkey girl is grazing in a blue.
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,Two dogs are sitting on the train.
A grey cat lying on a wooden table.,A grey cat laying on a dining table.,A group of people running on a pen of green.
A man sitting in a back yard playing the guitar.,A man riding on the back of an orange SUV.,A man in the grass.
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,A person is playing on a red-old table around a bicycle.
a close up head of an ostrich.,A close up of an ostrich face.,A group of the snow.
Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,A small blue and white dog runs on the air.
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,A man in a white driving.
A woman riding a brown horse.,A woman taking her own photo from above.,A woman is riding a horse.
Two men standing in grass staring at a car.,A woman in a pink top posing with beer.,Two women play together on grass near.
Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,Two young woman are standing in the dirt in a field.
A table is set with wine and dishes for two people.,"A wooden table is set with candles, wine, and a purple plastic bowl.",A close to a flute.
A moped in front of ruins.,White bus parked in grass in front of building.,A woman is singing.
A person driving a cart pulled by a bicycle.,A man wearing a dust mask riding a three wheeled bicycle.,A person is riding a white game.
A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,A dog is dog is playing a dog wearing a red a field.
a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,A bird sitting through a small of a fence.
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,A man is riding a yellow a skate.
A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,The black and white dog running over the piano.
A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,A black and white dog and white running and white shirt on the trees.
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,A man driving is in an water.
A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,A large skate wearing a horseboard a lake.
